source_index,edit_index,model,similarity,face_detected,confidence,output_url
21,5,phota,0.6720678806304932,true,0.7401222586631775,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj8gz1jv4sf2mem4ntryry.png
34,1,phota,0.560721755027771,true,0.8312881588935852,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj9mf684346z082t7zn1nm.png
34,2,phota,0.6672426462173462,true,0.7898419499397278,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj9y59fkg8v4a39vtzv1yv.png
34,3,phota,0.5071840882301331,true,0.8322524428367615,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjavd6r6570ve6r9r1dwb8.png
34,4,phota,0.7385651469230652,true,0.7925507426261902,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjb6rd8qzrdm5tyhn2fnjt.png
34,5,phota,0.6825374960899353,true,0.8250963687896729,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjcetdwtgwbjgsvhv7r29m.png
70,1,phota,0.5510791540145874,true,0.822753369808197,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjd1dc1xh3mxax9mpnkxk5.png
70,2,phota,0.6550113558769226,true,0.8324626684188843,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjd53sj03q5dbfj8nkhk5n.png
70,3,phota,0.6064116358757019,true,0.7431285381317139,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjf29h6btsz85nsyq5bpbt.png
70,4,phota,0.6533521413803101,true,0.8831139802932739,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjetw23aj2w3hd3xns0wza.png
70,5,phota,0.7344275712966919,true,0.8731140494346619,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjfmhxv8wfk3jns6k24hda.png
83,1,phota,0.6759350299835205,true,0.8680475354194641,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjgscm96v5804rrtcvbb08.png
83,2,phota,0.7138170003890991,true,0.891834020614624,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjh3sfgt6k5vp2axhmbc9g.png
83,3,phota,0.7452220320701599,true,0.8360899686813354,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjj2jwjcasm32v2a0gh7cz.png
83,4,phota,0.7330214977264404,true,0.8959506154060364,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjjd8s4gvepc20qrmgxxw8.png
83,5,phota,0.7590702176094055,true,0.8809216618537903,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjk4f37yayjf9xydcpbzfn.png
91,1,phota,0.13488677144050598,true,0.7577211856842041,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjmmajdjfb7waz6175vx9k.png
91,2,phota,0.09162014722824097,true,0.7500125169754028,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjm5fj1fn2ckscaamab267.png
91,3,phota,0.08533638715744019,true,0.7488884925842285,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjnrmq90137zvzmjhb1m06.png
91,4,phota,0.18187889456748962,true,0.8751152753829956,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjppa4mh81x5sjm6zrd117.png
91,5,phota,0.10987912118434906,true,0.7550458312034607,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtjptmrcdrhcrted9nw7kfy.png
1,1,nb2_ref,0.709467351436615,true,0.8071047067642212,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthnmfmkvcmy790agqgb3xj.png
1,2,nb2_ref,0.5292077660560608,true,0.8915180563926697,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthmqrfz47rg4kt9ea07tyq.png
1,3,nb2_ref,0.7356637120246887,true,0.8809295892715454,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthnmd1v1ng5ndpw35sx9dy.png
1,4,nb2_ref,0.6905648112297058,true,0.7931597232818604,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmthpma0gkgmjmqp29djrnmb.png
