source_index,edit_index,model,score
1,1,phota,0.2090625911951065
1,2,phota,0.17646025121212006
1,3,phota,0.22827617824077606
1,4,phota,0.19580328464508057
1,5,phota,0.16696597635746002
3,1,phota,0.19417794048786163
3,2,phota,0.18529312312602997
3,3,phota,0.21353116631507874
3,4,phota,0.19750328361988068
3,5,phota,0.1738809496164322
5,1,phota,0.19528502225875854
5,2,phota,0.18375076353549957
5,3,phota,0.1881539225578308
5,4,phota,0.18206991255283356
5,5,phota,0.1739603877067566
8,1,phota,0.2259431630373001
8,2,phota,0.20873625576496124
8,3,phota,0.20750072598457336
8,4,phota,0.2046569287776947
8,5,phota,0.18726423382759094
14,1,phota,0.1623767614364624
14,2,phota,0.19879446923732758
14,3,phota,0.19032178819179535
14,4,phota,0.16663587093353271
14,5,phota,0.1899651139974594
21,1,phota,0.1886596977710724
21,2,phota,0.20014110207557678
21,3,phota,0.2120598703622818
21,4,phota,0.18171419203281403
21,5,phota,0.1782425493001938
34,1,phota,0.14274922013282776
34,2,phota,0.16914178431034088
34,3,phota,0.19244490563869476
34,4,phota,0.16791589558124542
34,5,phota,0.17055852711200714
70,1,phota,0.1913759857416153
70,2,phota,0.15226052701473236
70,3,phota,0.16607606410980225
70,4,phota,0.15387456119060516
70,5,phota,0.18008390069007874
83,1,phota,0.2049780637025833
83,2,phota,0.1685529500246048
83,3,phota,0.21617746353149414
83,4,phota,0.1886654943227768
83,5,phota,0.19284051656723022
91,1,phota,0.14970411360263824
91,2,phota,0.19414135813713074
91,3,phota,0.1779470592737198
91,4,phota,0.1640472263097763
91,5,phota,0.14961953461170197
1,1,nb2_ref,0.28618255257606506
1,2,nb2_ref,0.2092902660369873
1,3,nb2_ref,0.2175460159778595
1,4,nb2_ref,0.21954350173473358
1,5,nb2_ref,0.1601710021495819
3,1,nb2_ref,0.25430265069007874
3,2,nb2_ref,0.23417511582374573
3,3,nb2_ref,0.20003412663936615
3,4,nb2_ref,0.2056196630001068
3,5,nb2_ref,0.18616975843906403
5,1,nb2_ref,0.2542515695095062
5,2,nb2_ref,0.20707374811172485
5,3,nb2_ref,0.19683153927326202
5,4,nb2_ref,0.17181052267551422
5,5,nb2_ref,0.16019494831562042
8,1,nb2_ref,0.23210126161575317
8,2,nb2_ref,0.20170627534389496
8,3,nb2_ref,0.20975686609745026
8,4,nb2_ref,0.20567572116851807
8,5,nb2_ref,0.1764526218175888
14,1,nb2_ref,0.17992426455020905
14,2,nb2_ref,0.21468248963356018
14,3,nb2_ref,0.20811042189598083
14,4,nb2_ref,0.16698996722698212
14,5,nb2_ref,0.19887711107730865
21,1,nb2_ref,0.20146921277046204
21,2,nb2_ref,0.2168160080909729
21,3,nb2_ref,0.1891859620809555
21,4,nb2_ref,0.21417000889778137
21,5,nb2_ref,0.17773644626140594
34,1,nb2_ref,0.16586337983608246
34,2,nb2_ref,0.18662525713443756
34,3,nb2_ref,0.19346380233764648
34,4,nb2_ref,0.17803388833999634
34,5,nb2_ref,0.16200359165668488
70,1,nb2_ref,0.19535857439041138
70,2,nb2_ref,0.19585010409355164
70,3,nb2_ref,0.13483263552188873
70,4,nb2_ref,0.17047396302223206
70,5,nb2_ref,0.18100053071975708
83,1,nb2_ref,0.2060089409351349
83,2,nb2_ref,0.2182125449180603
83,3,nb2_ref,0.20327724516391754
83,4,nb2_ref,0.19926166534423828
83,5,nb2_ref,0.1902679055929184
91,1,nb2_ref,0.1462177187204361
91,2,nb2_ref,0.2060326337814331
91,3,nb2_ref,0.18654239177703857
91,4,nb2_ref,0.15029792487621307
91,5,nb2_ref,0.14592696726322174
1,1,nb2_noref,0.2175305038690567
1,2,nb2_noref,0.2330883890390396
1,3,nb2_noref,0.2000616192817688
1,4,nb2_noref,0.2225065976381302
1,5,nb2_noref,0.20269440114498138
3,1,nb2_noref,0.21618610620498657
3,2,nb2_noref,0.23234473168849945
3,3,nb2_noref,0.1986001431941986
3,4,nb2_noref,0.1983056366443634
3,5,nb2_noref,0.17976543307304382
5,1,nb2_noref,0.2603815495967865
5,2,nb2_noref,0.2156098634004593
5,3,nb2_noref,0.19130855798721313
5,4,nb2_noref,0.18013007938861847
5,5,nb2_noref,0.1686929315328598
8,1,nb2_noref,0.24318517744541168
8,2,nb2_noref,0.20069698989391327
8,3,nb2_noref,0.2072739601135254
8,4,nb2_noref,0.20771722495555878
8,5,nb2_noref,0.17881886661052704
14,1,nb2_noref,0.1693490445613861
14,2,nb2_noref,0.21019114553928375
14,3,nb2_noref,0.1937987208366394
14,4,nb2_noref,0.1640746295452118
14,5,nb2_noref,0.19469718635082245
21,1,nb2_noref,0.2180720418691635
21,2,nb2_noref,0.210453063249588
21,3,nb2_noref,0.20859472453594208
21,4,nb2_noref,0.20286837220191956
21,5,nb2_noref,0.1612464189529419
34,1,nb2_noref,0.14305274188518524
34,2,nb2_noref,0.19314326345920563
34,3,nb2_noref,0.19166933000087738
34,4,nb2_noref,0.16963379085063934
34,5,nb2_noref,0.17860446870326996
70,1,nb2_noref,0.18238382041454315
70,2,nb2_noref,0.19367264211177826
70,3,nb2_noref,0.14459049701690674
70,4,nb2_noref,0.12876690924167633
70,5,nb2_noref,0.16771657764911652
83,1,nb2_noref,0.20212960243225098
83,2,nb2_noref,0.21561169624328613
83,3,nb2_noref,0.1991710215806961
83,4,nb2_noref,0.2022368609905243
83,5,nb2_noref,0.1814400851726532
91,1,nb2_noref,0.1662938892841339
91,2,nb2_noref,0.1987067610025406
91,3,nb2_noref,0.17051160335540771
91,4,nb2_noref,0.18056626617908478
91,5,nb2_noref,0.15812872350215912
